en,ru,de,es,fr
decrease,уменьшение,verringern,disminución,diminution
deep,глубокий,tief,profundo,profond
deeply,глубоко,tief,profundamente,profondément
deer,олень,hirsch,ciervo,cerf
defeat,поражение,niederlage,derrota,défaite
defend,защищать,verteidigen,defender,défendre
defendant,подсудимый,beklagte,acusado,défendeur
defense,оборона,verteidigung,defensa,la défense
defensive,оборонительный,defensive,defensivo,défensive
deficit,дефицит,defizit,déficit,déficit
define,определять,definieren,definir,définir
definitely,определенно,bestimmt,seguro,absolument
definition,определение,definition,definición,définition
degree,степень,grad,la licenciatura,degré
delay,задержка,verzögern,retrasar,retard
deliver,поставлять,liefern,entregar,livrer
delivery,поставка,lieferung,entrega,livraison
demand,спрос,nachfrage,demanda,demande
democracy,демократия,demokratie,democracia,la démocratie
democrat,демократ,demokrat,demócrata,démocrate
democratic,демократический,demokratisch,democrático,démocratique
demonstrate,демонстрировать,zeigen,demostrar,démontrer
demonstration,демонстрация,demonstration,demostración,manifestation
deny,отрицать,verweigern,negar,nier
department,отдел,abteilung,departamento,département
depend,зависеть,abhängen,depender,dépendre
dependent,зависимый,abhängig,dependiente,dépendant
depending,зависимость,abhängig,dependiente,dépendemment
depict,изображать,abbilden,representar,représenter
depression,депрессия,depression,depresión,dépression
depth,глубина,tiefe,profundidad,profondeur
deputy,заместитель,stellvertreter,diputado,adjoint
derive,получать,ableiten,derivar,dériver
describe,описывать,beschreiben,describir,décrire
description,описание,beschreibung,descripción,la description
desert,покидать,wüste,desierto,désert
deserve,заслуживать,verdienen,merecer,mériter
design,дизайн,entwurf,diseño,conception
designer,проектировщик,designer,diseñador,designer
desire,желание,verlangen,deseo,envie
desk,стол,schreibtisch,escritorio,bureau
desperate,отчаянный,verzweifelt,desesperado,désespéré
despite,вопреки,trotz,a pesar de,malgré
destroy,уничтожать,zerstören,destruir,détruire
destruction,уничтожение,zerstörung,destrucción,destruction
detail,деталь,detail,detalle,détail
detailed,подробный,detaillierte,detallado,détaillé
detect,обнаруживать,erkennen,detectar,détecter
determine,определять,bestimmen,determinar,déterminer
develop,развиваться,entwickeln,desarrollar,développer
developing,развивающийся,entwicklung,desarrollando,développement
development,развитие,entwicklung,desarrollo,développement
device,устройство,gerät,dispositivo,dispositif
devote,посвящать,widmen,dedicar,consacrer
dialogue,диалог,dialog,diálogo,dialogue
die,умереть,sterben,morir,mourir
diet,диета,diät,dieta,régime
differ,отличаться,abweichen,diferir de,différer
difference,разница,unterschied,diferencia,différence
different,различный,anders,diferente,différent
differently,иначе,anders,diferentemente,différemment
difficult,трудный,schwer,difícil,difficile
difficulty,трудность,schwierigkeit,dificultad,difficulté
dig,копать,graben,cavar,creuser
digital,пальцевидный,digital,digital,numérique
dimension,измерение,dimension,dimensión,dimension
dining,обеденный,essen,comida,à manger
dinner,обед,abendessen,cena,dîner
direct,прямой,direkt,directo,direct
direction,направление,richtung,dirección,direction
directly,непосредственно,direkt,directamente,directement
director,режиссер,direktor,director,réalisateur
dirt,грязь,schmutz,suciedad,saleté
dirty,грязный,dreckig,sucio,sale
disability,инвалидность,behinderung,discapacidad,invalidité
disagree,расходиться,nicht zustimmen,discrepar,être en désaccord
disappear,исчезнуть,verschwinden,desaparecer,disparaître
disaster,бедствие,katastrophe,desastre,catastrophe
discipline,дисциплина,disziplin,disciplina,la discipline
discourse,рассуждение,diskurs,discurso,discours
discover,обнаруживать,entdecken,descubrir,découvrir
discovery,открытие,entdeckung,descubrimiento,découverte
discrimination,дискриминация,diskriminierung,discriminación,discrimination
discuss,обсуждать,diskutieren,discutir,discuter
discussion,обсуждение,diskussion,discusión,discussion
disease,заболевание,krankheit,enfermedad,maladie
dish,блюдо,gericht,plato,plat
dismiss,увольнять,entlassen,despedir,rejeter
disorder,расстройство,störung,trastorno,désordre
display,дисплей,anzeigen,monitor,afficher
dispute,спор,streit,disputa,contestation
distance,расстояние,entfernung,distancia,distance
distant,далекий,entfernt,distante,loin
distinct,четкий,deutlich,distinto,distinct
distinction,различие,unterscheidung,distinción,distinction
distinguish,отличать,unterscheiden,distinguir,distinguer
distribute,распространять,verteilen,distribuir,distribuer
distribution,распределение,verteilung,distribución,distribution
district,район,kreis,distrito,district
diverse,разнообразный,vielfältig,diverso,diverse
diversity,разнообразие,vielfalt,diversidad,la diversité
divide,делиться,teilen,dividir,diviser
division,отдел,aufteilung,división,division
divorce,развод,scheidung,divorcio,divorce
dna,днк,dna,adn,adn
do,делать,machen,hacer,faire
doctor,врач,arzt,doctor,docteur
document,документ,dokument,documento,document
dog,собака,hund,perro,chien
domestic,отечественный,inländisch,nacional,national
dominant,доминирующий,dominant,dominante,dominant
dominate,доминировать,dominieren,dominar,dominer
door,дверь,tür,puerta,porte
double,двойной,doppelt,doble,double
doubt,сомневаться,zweifel,duda,doute
down,вниз,unten,abajo,vers le bas
downtown,центральный,innenstadt,centro de la ciudad,centre ville
dozen,дюжина,dutzend,docena,douzaine
draft,проект,entwurf,borrador,brouillon
drag,тянуть,ziehen,arrastrar,traîne
drama,драма,drama,drama,drame
dramatic,драматический,dramatisch,dramático,dramatique
dramatically,резко,dramatisch,dramáticamente,dramatiquement
draw,рисовать,zeichnen,dibujar,dessiner
drawing,рисунок,zeichnung,dibujo,dessin
dream,мечта,traum,sueño,rêver
dress,платье,kleid,vestir,robe
drink,пить,getränk,beber,boisson
drive,привод,fahrt,manejar,conduire
driver,водитель,treiber,conductor,chauffeur
drop,падение,fallen,soltar,laissez tomber
drug,наркотик,droge,droga,drogue
dry,сухой,trocken,seco,sec
due,надлежащий,fällig,debido,dû
during,в течение,während,durante,pendant
dust,пыль,staub,polvo,poussière
duty,обязанность,pflicht,deber,devoir
each,каждый,jede einzelne,cada,chaque
eager,жаждущий,eifrig,ansioso,désireux
ear,ухо,ohr,oreja,oreille
early,ранний,früh,temprano,de bonne heure
earn,зарабатывать,verdienen,ganar,gagner
earnings,заработок,verdienste,ganancias,gains
earth,земля,erde,tierra,terre
ease,легкость,leichtigkeit,facilitar,facilité
easily,легко,leicht,fácilmente,facilement
east,восток,osten,este,est
eastern,восток,östlich,oriental,est
easy,легкий,einfach,fácil,facile
eat,есть,essen,comer,manger
economic,экономический,ökonomisch,económico,économique
economics,экономика,wirtschaft,ciencias económicas,économie
economist,экономист,ökonom,economista,économiste
economy,экономика,wirtschaft,economía,économie
edge,край,rand,borde,bord
edition,издание,ausgabe,edición,édition
editor,редактор,herausgeber,editor,éditeur
educate,воспитывать,erziehen,educar,éduquer
education,образование,bildung,educación,éducation
educational,образовательный,pädagogisch,educativo,éducatif
educator,воспитатель,erzieher,educador,éducateur
effect,эффект,bewirken,efecto,effet
effective,эффективный,wirksam,eficaz,efficace
effectively,действенно,effektiv,eficazmente,efficacement
efficiency,эффективность,effizienz,eficiencia,efficacité
efficient,эффективный,effizient,eficiente,efficace
effort,усилие,anstrengung,esfuerzo,effort
egg,яйцо,ei,huevo,oeuf
eight,восемь,acht,ocho,huit
either,любой,entweder,ya sea,non plus
elderly,пожилой,ältere,mayor,personnes âgées
elect,избирать,wählen,electo,élire
election,выборы,wahl,elección,élection
electric,электрический,elektrisch,eléctrico,électrique
electricity,электричество,elektrizität,electricidad,électricité
electronic,электронный,elektronisch,electrónico,électronique
element,элемент,element,elemento,élément
elementary,элементарный,elementar,elemental,élémentaire
eliminate,ликвидировать,beseitigen,eliminar,éliminer
elite,элита,elite,élite,élite
else,еще,sonst,más,autre
elsewhere,в другом месте,anderswo,en otra parte,autre part
e-mail,электронная почта,email,correo electrónico,email
embrace,обнимать,umarmung,abrazo,embrasse
emerge,выходить,entstehen,surgir,émerger
emergency,аварийный,notfall,emergencia,urgence
emission,излучение,emission,emisión,émission
emotion,эмоция,emotion,emoción,émotion
emotional,эмоциональный,emotional,emocional,émotif
emphasis,выразительность,hervorhebung,énfasis,accentuation
emphasize,подчеркивать,betonen,enfatizar,souligner
employ,использовать,beschäftigen,emplear,employer
employee,служащий,mitarbeiter,empleado,employé
employer,работодатель,arbeitgeber,empleador,employeur
employment,занятость,beschäftigung,empleo,emploi
empty,пустой,leer,vacío,vide
enable,давать возможность,aktivieren,habilitar,activer
encounter,сталкиваться,begegnung,encuentro,rencontre
encourage,поощрять,ermutigen,alentar,encourager
end,конец,ende,fin,fin
enemy,враг,feind,enemigo,ennemi
energy,энергия,energie,energía,énergie
enforcement,принуждение,durchsetzung,aplicación,mise en vigueur
engage,привлекать,engagieren,contratar,engager
engine,двигатель,motor,motor,moteur
engineer,инженер,ingenieur,ingeniero,ingénieur
engineering,машиностроение,ingenieurwesen,ingenieria,ingénierie
english,английский,englisch,inglés,anglais
enhance,повышать,verbessern,mejorar,améliorer
enjoy,наслаждаться,genießen,disfrutar,prendre plaisir
enormous,огромный,enorm,enorme,énorme
enough,достаточно,genug,suficiente,assez
ensure,обеспечивать,dafür sorgen,asegurar,assurer
enter,входить,eingeben,entrar,entrer
enterprise,предприятие,unternehmen,empresa,entreprise
entertainment,развлечение,unterhaltung,entretenimiento,divertissement
entire,целый,ganz,todo,tout
entirely,полностью,vollständig,enteramente,entièrement
entrance,вход,eingang,entrada,entrée
entry,вступление,eintrag,entrada,entrée
environment,окружающая среда,umwelt,ambiente,environnement
environmental,экологический,umwelt,ambiental,environnemental
episode,эпизод,folge,episodio,épisode
equal,равный,gleich,igual,égal
equally,одинаково,gleichermaßen,igualmente,également
equipment,оборудование,ausrüstung,equipo,équipement
era,эпоха,epoche,era,ère
error,ошибка,fehler,error,erreur
escape,бежать,flucht,escapar,échapper
especially,особенно,insbesondere,especialmente,notamment
essay,опыт,aufsatz,ensayo,essai
essential,существенный,wesentlich,esencial,essentiel
essentially,существенно,im wesentlichen,esencialmente,essentiellement
establish,установить,etablieren,establecer,établir
establishment,учреждение,einrichtung,establecimiento,établissement
estate,имущество,nachlass,inmuebles,biens
estimate,оценка,schätzen,estimar,estimation
etc,п,etc,etc,etc
ethics,этика,ethik,ética,éthique
ethnic,этнический,ethnisch,étnico,ethnique
european,европейский,europäisch,europeo,européen
evaluate,оценивать,bewerten,evaluar,évaluer
evaluation,оценка,auswertung,evaluación,évaluation
even,даже,sogar,incluso,même
evening,вечер,abend,noche,soir
event,событие,event,evento,un événement
eventually,в конечном счете,schließlich,finalmente,finalement
ever,всегда,je,nunca,déjà
every,каждый,jeden,cada,chaque
everybody,все,jeder,todos,tout le monde
everyday,повседневный,jeden tag,cada día,tous les jours
everyone,все,jeder,todo el mundo,toutes les personnes
everything,все,alles,todo,tout
everywhere,везде,überall,en todos lados,partout
evidence,свидетельство,beweis,evidencia,preuve
evolution,эволюция,evolution,evolución,évolution
evolve,развиваться,entwickeln,evolucionar,évoluer
exact,точный,genau,exacto,exact
exactly,именно,genau,exactamente,exactement
examination,обследование,untersuchung,examen,examen
examine,осматривать,untersuchen,examinar,examiner
example,образец,beispiel,ejemplo,exemple
exceed,превышать,überschreiten,exceder,dépasser
excellent,отличный,ausgezeichnet,excelente,excellent
except,кроме,außer,excepto,sauf
exception,исключение,ausnahme,excepción,exception
exchange,обмен,austausch,intercambiar,échange
exciting,захватывающий,aufregend,emocionante,passionnant
executive,исполнительный,executive,ejecutivo,exécutif
exercise,упражнение,übung,ejercicio,exercice
exhibit,экспонат,ausstellungsstück,exposición,exposition
exhibition,выставка,ausstellung,exposición,exposition
exist,существовать,existieren,existe,exister
existence,существование,existenz,existencia,existence
existing,существующий,bestehende,existente,existant
expand,расширять,erweitern,expandir,développer
expansion,расширение,erweiterung,expansión,expansion
expect,ожидать,erwarten von,esperar,attendre
expectation,ожидание,erwartung,expectativa,attente
expense,расход,aufwand,gastos,frais
expensive,дорогой,teuer,costoso,coûteux
experience,опыт,erfahrung,experiencia,expérience
experiment,эксперимент,experiment,experimentar,expérience
expert,эксперт,experte,experto,expert
explain,объяснять,erklären,explique,explique
explanation,объяснение,erläuterung,explicación,explication
explode,взрываться,explodieren,explotar,exploser
explore,исследовать,erforschen,explorar,explorer
explosion,взрыв,explosion,explosión,explosion
expose,подвергать,expose,exponer,exposer
exposure,экспозиция,belichtung,exposición,exposition
express,курьерский,ausdrücken,exprimir,express
expression,выражение,ausdruck,expresión,expression
extend,расширять,erweitern,ampliar,étendre
extension,расширение,erweiterung,extensión,extension
extensive,обширный,umfangreich,extenso,extensif
extent,степень,umfang,grado,ampleur
external,внешний,extern,externo,externe
extra,дополнительный,extra,extra,supplémentaire
extraordinary,чрезвычайный,außergewöhnlich,extraordinario,extraordinaire
extreme,крайность,extrem,extremo,extrême
extremely,чрезвычайно,äußerst,extremadamente,extrêmement
eye,глаз,auge,ojo,œil
fabric,ткань,stoff,tela,en tissu
face,лицо,gesicht,cara,visage
facility,установка,einrichtung,instalaciones,établissement
fact,факт,tatsache,hecho,fait
factor,фактор,faktor,factor,facteur
factory,завод,fabrik,fábrica,usine
faculty,факультет,fakultät,facultad,la faculté
fade,увядать,verblassen,descolorarse,fade
fail,неудача,fehlschlagen,fallar,échouer
failure,неудача,fehler,fracaso,échec
fair,справедливый,messe,justa,juste
fairly,довольно,ziemlich,bastante,équitablement
faith,вера,glauben,fe,foi
fall,упасть,fallen,otoño,tomber
false,ложный,falsch,falso,faux
familiar,знакомый,familiär,familiar,familier
family,семья,familie,familia,famille
famous,известный,berühmt,famoso,célèbre
fan,вентилятор,ventilator,ventilador,ventilateur
fantasy,фантазия,fantasie,fantasía,fantaisie
far,дальний,weit,lejos,loin
farm,ферма,bauernhof,granja,ferme
farmer,фермер,farmer,agricultor,agriculteur
fashion,мода,mode,moda,mode
fast,быстрый,schnell,rápido,vite
fat,жир,fett,grasa,graisse
fate,судьба,schicksal,destino,sort
father,отец,vater,padre,père
fault,ошибка,fehler,culpa,faute
favor,польза,gefallen,favor,faveur
favorite,любимый,favorit,favorito,préféré
fear,страх,angst,miedo,peur
feature,особенность,feature,característica,fonctionnalité
federal,федеральный,föderal,federal,fédéral
fee,гонорар,gebühr,cuota,frais
feed,кормить,futter,alimentar,alimentation
feel,чувствовать,fühlen,sensación,ressentir
feeling,чувство,gefühl,sensación,sentiment
fellow,товарищ,fellow,compañero,compagnon
female,женский,weiblich,hembra,femelle
fence,забор,zaun,cerca,clôture
few,несколько,wenige,pocos,peu
fewer,меньший,weniger,menos,moins
fiber,волокно,faser,fibra,fibre
fiction,фикция,fiktion,ficción,fiction
field,поле,feld,campo,champ
fifteen,пятнадцать,fünfzehn,quince,quinze
fifth,пятый,fünfte,quinto,cinquième
fifty,пятьдесят,fünfzig,cincuenta,cinquante
fight,борьба,kampf,lucha,bats toi
fighter,боец,kämpfer,combatiente,combattant
fighting,бой,kampf,lucha,combat
figure,рисунок,zahl,figura,figure
file,папка,datei,archivo,fichier
fill,заполнять,füllen,llenar,remplir
film,фильм,film,película,film
final,окончательный,finale,final,final
finally,окончательно,endlich,finalmente,enfin
finance,финансы,finanzen,financiar,la finance
financial,финансовый,finanziell,financiero,financier
find,находить,finden,encontrar,trouver
finding,вывод,ergebnis,hallazgo,découverte
fine,штраф,fein,multa,bien
finger,палец,finger,dedo,doigt
finish,заканчивать,fertig,terminar,terminer
fire,огонь,feuer,fuego,feu
firm,фирма,firma,firma,raffermir
first,сначала,zuerst,primero,premier
fish,рыба,fisch,pescado,poisson
fishing,рыболовство,angeln,pescar,pêche
fit,пригонка,passen,ajuste,en forme
fitness,пригодность,fitness,aptitud,aptitude
five,пять,fünf,cinco,cinq
fix,устанавливать,fix,fijar,réparer
flag,флаг,flagge,bandera,drapeau
flame,пламя,flamme,llama,flamme
flat,плоский,wohnung,plano,appartement
flavor,вкус,geschmack,sabor,saveur
flee,бежать,fliehen,huir,fuir
flesh,плоть,fleisch,carne,la chair
flight,полет,flug,vuelo,vol
float,плыть,schweben,flotador,flotte
floor,этаж,stock,piso,sol
flow,поток,fließen,fluir,couler
flower,цветок,blume,flor,fleur
fly,летать,fliege,mosca,mouche
focus,внимание,fokus,atención,concentrer
folk,народный,volk,gente,populaire
follow,следовать,folgen,seguir,suivre
following,следующий,es folgen,siguiendo,suivant
food,пища,lebensmittel,comida,aliments
foot,нога,fuß,pie,pied
football,футбол,fußball,fútbol,football
for,для,zum,para,pour
force,сила,kraft,fuerza,obliger
foreign,иностранный,fremd,exterior,étranger
forest,лес,wald,bosque,forêt
forever,навсегда,für immer,siempre,pour toujours
forget,забыть,vergessen,olvidar,oublier
form,форма,bilden,formar,forme
formal,формальный,formale,formal,formel
formation,формирование,bildung,formación,formation
former,бывший,ehemalige,ex,ancien
formula,формула,formel,fórmula,formule
forth,вперед,weiter,adelante,avant
fortune,состояние,vermögen,fortuna,fortune
forward,вперед,vorwärts,adelante,vers l'avant
found,найденный,gefunden,encontró,a trouvé
foundation,фонд,stiftung,fundación,fondation
founder,основатель,gründer,fundador,fondateur
four,4,vier,las cuatro,quatre
fourth,четвёртый,vierte,cuarto,quatrième
frame,рамка,rahmen,marco,cadre
framework,фреймворк,rahmen,marco de referencia,cadre
free,свободно,frei,gratis,gratuit
freedom,свобода,freiheit,libertad,liberté
freeze,заморозить,einfrieren,congelar,gel
french,французский,französisch,francés,français
frequency,частота,frequenz,frecuencia,la fréquence
frequent,частые,häufig,frecuente,fréquent
frequently,часто,häufig,frecuentemente,fréquemment
fresh,свежий,frisch,fresco,frais
friend,друг,freund,amigo,ami
friendly,дружелюбный,freundlich,amistoso,amical
friendship,дружба,freundschaft,amistad,relation amicale
from,из,von,de,de
front,фронт,vorderseite,frente,de face
fruit,фрукты,frucht,fruta,fruit
frustration,разочарование,frustration,frustración,frustration
fuel,топливо,treibstoff,combustible,carburant
full,полный,voll,completo,plein
fully,в полной мере,völlig,completamente,pleinement
fun,весело,spaß,divertido,amusement
function,функция,funktion,función,fonction
fund,фонд,fonds,fondo,fonds
fundamental,фундаментальные,fundamental,fundamental,fondamental
funding,финансирование,finanzierung,fondos,financement
funeral,похороны,beerdigung,funeral,funérailles
funny,веселая,komisch,gracioso,drôle
furniture,мебель,möbel,mueble,meubles
furthermore,более того,außerdem,además,en outre
future,будущее,zukunft,futuro,avenir
gain,усиление,gewinnen,ganancia,gain
galaxy,галактика,galaxis,galaxia,galaxie
gallery,галерея,galerie,galería,galerie
game,игра,spiel,juego,jeu
gang,банда,gang,pandilla,gang
gap,пробел,spalt,brecha,écart
garage,гараж,garage,garaje,garage
garden,сад,garten,jardín,jardin
garlic,чеснок,knoblauch,ajo,ail
gas,газ,gas,gas,gaz
gate,ворота,tor,portón,porte
gather,собирать,versammeln,reunir,recueillir
gay,гей,homosexuell,gay,gay
gaze,посмотреть,blick,mirada,regard
gear,передача,gang,engranaje,équipement
gender,пол,geschlecht,género,le genre
gene,ген,gen,gene,gène
general,генеральная,general,general,général
generally,в общем,allgemein,en general,généralement
generate,генерировать,generieren,generar,générer
generation,поколение,generation,generacion,génération
genetic,генетический,genetisch,genético,génétique
gentleman,джентльмен,gentleman,hidalgo,gentilhomme
gently,мягко,sanft,suavemente,doucement
german,немецкий,deutsche,alemán,allemand
gesture,жест,geste,gesto,geste
get,получить,bekommen,obtener,obtenir
ghost,призрак,geist,fantasma,fantôme
giant,гигант,riese,gigante,géant
gift,подарок,geschenk,regalo,cadeau
gifted,одаренный,begabtes,dotado,doué
girl,девочка,mädchen,niña,fille
girlfriend,подруга,freundin,novia,petite amie
give,дайте,geben,dar,donner
given,данный,gegeben,dado,donné
glad,довольный,froh,alegre,content de
glance,взгляд,blick,vistazo,regard
glass,стакан,glas,vaso,verre
global,глобальный,global,global,global
glove,перчатка,handschuh,guante,gant
go,идти,gehen,ir,aller
goal,цель,tor,gol,objectif
god,бог,gott,dios,dieu
gold,золото,gold,oro,or
golden,золотой,golden,dorado,d'or
golf,гольф,golf,golf,le golf
good,хорошо,gut,bueno,bien
government,правительство,regierung,gobierno,gouvernement
governor,губернатор,gouverneur,gobernador,gouverneur
grab,захватить,greifen,agarrar,saisir
grade,класс,klasse,grado,qualité
gradually,постепенно,allmählich,gradualmente,progressivement
graduate,выпускник,absolvent,graduado,diplômé
grain,зерно,korn,grano,grain
grand,гранд,großartig,grandioso,grandiose
grandfather,дед,großvater,abuelo,grand-père
grandmother,бабушка,oma,abuela,grand-mère
grant,выдать,gewähren,conceder,subvention
grass,трава,gras,césped,herbe
grave,могила,grab,tumba,la tombe
gray,серый,grau,gris,gris
great,великий,groß,estupendo,génial
greatest,величайший,größte,mejor,le plus grand
green,зеленый,grün,verde,vert
grocery,продуктовый,lebensmittelgeschäft,tienda de comestibles,épicerie
ground,земля,boden,suelo,sol
group,группа,gruppe,grupo,groupe
grow,растут,größer werden,crecer,croître
growing,растет,wachsend,creciente,croissance
growth,рост,wachstum,crecimiento,croissance
guarantee,гарантия,garantie,garantía,une garantie
guard,охранник,bewachen,guardia,gardien
guess,угадай,vermuten,adivinar,deviner
guest,гость,gast,huésped,client
guide,руководство,führen,guía,guider
guideline,руководство,richtlinie,guía,ligne directrice
guilty,виновен,schuldig,culpable,coupable
gun,пистолет,gewehr,pistola,pistolet
guy,парень,kerl,chico,gars
habit,привычка,gewohnheit,hábito,habitude
habitat,естественная среда,lebensraum,habitat,habitat
hair,волосы,haar,cabello,cheveux
half,половина,hälfte,mitad,moitié
hall,зал,halle,sala,salle
hand,рука,hand,mano,main
handful,горстка,hand voll,puñado,poignée
handle,ручка,griff,encargarse de,manipuler
hang,повесить,aufhängen,colgar,pendre
happen,случиться,geschehen,ocurrir,se produire
happy,счастливый,glücklich,contento,content
hard,жесткий,hart,difícil,difficile
hardly,едва,kaum,apenas,à peine
hat,шапка,hut,sombrero,chapeau
hate,ненавидеть,hass,odio,haine
have,иметь,haben,tener,avoir
he,он,er,él,il
head,глава,kopf,cabeza,tête
headline,заголовок,überschrift,titular,gros titre
headquarters,главное управление,hauptsitz,sede,quartier général
health,здоровье,gesundheit,salud,santé
healthy,здоровый,gesund,saludable,en bonne santé
hear,слышать,hören,oír,entendre
hearing,слух,hören,audición,audition
heart,сердце,herz,corazón,cœur
heat,высокая температура,hitze,calor,chaleur
heaven,небо,himmel,cielo,paradis
heavily,сильно,schwer,fuertemente,fortement
heavy,тяжелый,schwer,pesado,lourd
heel,каблук,hacke,tacón,talon
height,высота,höhe,altura,la taille
helicopter,вертолет,hubschrauber,helicóptero,hélicoptère
hell,ад,hölle,infierno,enfer
hello,здравствуйте,hallo,hola,bonjour
help,помогите,hilfe,ayuda,aidez-moi
helpful,полезно,hilfreich,servicial,utile
her,ее,ihr,su,sa
here,вот,hier,aquí,ici
heritage,наследие,erbe,patrimonio,patrimoine
hero,герой,held,héroe,héros
herself,сама,sie selber,sí misma,se
hey,привет,hallo,oye,hey
hi,здравствуй,hallo,hola,salut
hide,скрывать,verstecken,esconder,cacher
high,высокая,hoch,alto,haute
highlight,изюминка,markieren,realce,surligner
highly,высоко,höchst,altamente,très
highway,шоссе,autobahn,autopista,autoroute
hill,холм,hügel,colina,colline
him,его,ihm,él,lui
himself,сам,selbst,él mismo,lui-même
hip,бедро,hüfte,cadera,hanche
hire,наем,mieten,alquiler,louer
his,его,seine,su,le sien
historian,историк,historiker,historiador,historien
historic,исторический,historisch,histórico,historique
historical,исторический,historisch,histórico,historique
history,история,geschichte,historia,histoire
hit,удар,schlagen,golpear,frappé
hold,держать,halt,sostener,tenir
hole,дыра,loch,agujero,trou
holiday,день отдыха,urlaub,fiesta,vacances
holy,святой,heilig,santo,saint
home,главная,zuhause,casa,maison
homeless,бездомный,obdachlos,sin hogar,sans abri
honest,честный,ehrlich,honesto,honnête
honey,мед,honig,miel,mon chéri
honor,честь,ehre,honor,honneur
hope,надеюсь,hoffnung,esperanza,espérer
horizon,горизонт,horizont,horizonte,horizon
horror,ужастик,horror,horror,horreur
horse,лошадь,pferd,caballo,cheval
hospital,больница,krankenhaus,hospital,hôpital
host,хозяйничать,gastgeber,anfitrión,hôte
hot,горячий,heiß,caliente,chaud
hotel,гостиница,hotel,hotel,un hôtel
hour,час,stunde,hora,heure
house,дом,haus,casa,maison
household,домашнее хозяйство,haushalt,casa,ménage
housing,корпус,gehäuse,alojamiento,logement
how,как,wie,cómo,comment
however,однако,aber,sin embargo,toutefois
huge,огромный,enorm,enorme,énorme
human,человек,menschlich,humano,humain
humor,юмор,humor,humor,humour
hundred,сто,hundert,cien,cent
hungry,голодные,hungrig,hambriento,affamé
hunter,охотник,jäger,cazador,chasseur
hunting,охота,jagd,caza,chasse
hurt,причинить боль,verletzen,herir,blesser
husband,муж,mann,marido,mari
hypothesis,гипотеза,hypothese,hipótesis,hypothèse
i,я,ich,yo,je
ice,лед,eis,hielo,la glace
idea,идея,idee,idea,idée
ideal,идеальный,ideal,ideal,idéal
identification,идентификация,identifizierung,identificación,identification
identify,определить,identifizieren,identificar,identifier
identity,идентичность,identität,identidad,identité
ie,то есть,dh,es decir,c'est à dire
if,если,ob,si,si
ignore,игнорировать,ignorieren,ignorar,ignorer
ill,больной,krank,enfermo,mauvais
illegal,незаконный,illegal,ilegal,illégal
illness,болезнь,krankheit,enfermedad,maladie
illustrate,иллюстрируют,veranschaulichen,ilustrar,illustrer
image,образ,bild,imagen,image
imagination,воображение,phantasie,imaginación,imagination
imagine,представить,vorstellen,imagina,imaginer
immediate,немедленно,sofort,inmediato,immédiat
immediately,немедленно,sofort,inmediatamente,immédiatement
immigrant,иммигрант,immigrant,inmigrante,immigrant
immigration,иммиграция,einwanderung,inmigración,immigration
impact,влияние,einfluss,impacto,impact
implement,воплощать в жизнь,implementieren,implementar,mettre en place
implication,смысл,implikation,implicación,implication
imply,предполагает,implizieren,implicar,impliquer
importance,значение,bedeutung,importancia,importance
important,важный,wichtig,importante,important
impose,наложить,sich aufdrängen,imponer,imposer
impossible,невозможно,unmöglich,imposible,impossible
impress,произвести впечатление,beeindrucken,impresionar,impressionner
impression,впечатление,eindruck,impresión,impression
impressive,впечатляет,eindrucksvoll,impresionante,impressionnant
improve,улучшить,verbessern,mejorar,améliorer
improvement,улучшение,verbesserung,mejora,amélioration
in,в,im,en,dans
incentive,стимул,anreiz,incentivo,motivation
incident,инцидент,vorfall,incidente,incident
include,включают,einschließen,incluir,comprendre
including,в том числе,einschließlich,incluso,comprenant
income,доход,einkommen,ingresos,le revenu
incorporate,включить,übernehmen,incorporar,intégrer
increase,увеличение,vergrößern,incrementar,augmenter
increased,вырос,erhöht,aumentado,augmenté
increasing,увеличение,zunehmend,creciente,en augmentant
increasingly,более,zunehmend,cada vez más,de plus en plus
incredible,невероятное,unglaublich,increíble,incroyable
indeed,в самом деле,tatsächlich,en efecto,effectivement
independence,независимость,unabhängigkeit,independencia,indépendance
independent,независимый,unabhängig,independiente,indépendant
index,индекс,index,índice,indice
indian,индийский,indisch,indio,indien
indicate,показывают,zeigen,indicar,indiquer
indication,указание,indikation,indicación,indication
individual,индивидуальный,person,individual,individuel
industrial,промышленный,industriell,industrial,industriel
industry,промышленность,industrie,industria,industrie
infant,ребенок,säugling,infantil,bébé
infection,инфекционное заболевание,infektion,infección,infection
inflation,инфляция,inflation,inflación,inflation
influence,влияние,einfluss,influencia,influence
inform,поставить в известность,informieren,informar,informer
information,информация,information,información,information
ingredient,ингредиент,zutat,ingrediente,ingrédient
initial,первоначальный,initiale,inicial,initiale
initially,первоначально,anfänglich,inicialmente,initialement
initiative,инициатива,initiative,iniciativa,initiative
injury,травма,verletzung,lesión,blessure
inner,внутренний,innere,interior,interne
innocent,невиновен,unschuldig,inocente,innocent
inquiry,запрос,anfrage,investigación,enquête
inside,внутри,innen,dentro,à l'intérieur
insight,в поле зрения,einblick,visión,perspicacité
insist,настаивают,darauf bestehen,insistir,insister
inspire,вдохновлять,inspirieren,inspirar,inspirer
install,установить,installieren,instalar,installer
instance,пример,beispiel,ejemplo,exemple
instead,вместо,stattdessen,en lugar,au lieu
institution,учреждение,institution,institución,institution
